@relation trainingData

@attribute AF012024_s_at numeric
@attribute D26156_s_at numeric
@attribute D38073_at numeric
@attribute D49950_at numeric
@attribute D63874_at numeric
@attribute D63880_at numeric
@attribute HG1612-HT1612_at numeric
@attribute J05243_at numeric
@attribute L08246_at numeric
@attribute L13278_at numeric
@attribute L47738_at numeric
@attribute L49229_f_at numeric
@attribute M11147_at numeric
@attribute M13792_at numeric
@attribute M16038_at numeric
@attribute M19045_f_at numeric
@attribute M21551_rna1_at numeric
@attribute M23197_at numeric
@attribute M27891_at numeric
@attribute M28130_rna1_s_at numeric
@attribute M28170_at numeric
@attribute M31211_s_at numeric
@attribute M31303_rna1_at numeric
@attribute M31523_at numeric
@attribute M55150_at numeric
@attribute M57710_at numeric
@attribute M62762_at numeric
@attribute M63138_at numeric
@attribute M69043_at numeric
@attribute M80254_at numeric
@attribute M81695_s_at numeric
@attribute M81933_at numeric
@attribute M83652_s_at numeric
@attribute M84526_at numeric
@attribute M91432_at numeric
@attribute M92287_at numeric
@attribute M96326_rna1_at numeric
@attribute S50223_at numeric
@attribute U05259_rna1_at numeric
@attribute U09087_s_at numeric
@attribute U12471_cds1_at numeric
@attribute U20998_at numeric
@attribute U22376_cds2_s_at numeric
@attribute U26266_s_at numeric
@attribute U29175_at numeric
@attribute U32944_at numeric
@attribute U35451_at numeric
@attribute U46751_at numeric
@attribute U50136_rna1_at numeric
@attribute U72342_at numeric
@attribute U82759_at numeric
@attribute X04085_rna1_at numeric
@attribute X14008_rna1_f_at numeric
@attribute X15949_at numeric
@attribute X17042_at numeric
@attribute X52142_at numeric
@attribute X56411_rna1_at numeric
@attribute X59417_at numeric
@attribute X63469_at numeric
@attribute X74262_at numeric
@attribute X76648_at numeric
@attribute X85116_rna1_s_at numeric
@attribute X95735_at numeric
@attribute X97267_rna1_s_at numeric
@attribute Y00787_s_at numeric
@attribute Y08612_at numeric
@attribute Y12670_at numeric
@attribute Z15115_at numeric
@attribute Z69881_at numeric
@attribute class { ALL, AML}

@data
132,1913,884,38,7021,551,4406,1587,733,36,2147,20,6027,8630,34,969,267,140,20,189,20,897,3352,617,680,20,1870,1471,2561,40,461,46,20,20,472,6134,737,441,147,89,195,2016,2853,526,1972,282,745,587,626,686,306,628,833,27,1343,69,107,6541,225,953,512,139,20,703,1278,492,174,2525,2744,ALL
54,329,314,20,4036,198,1379,169,2095,20,140,20,15280,1695,399,3939,20,287,107,1855,84,334,2290,474,412,988,1030,1763,7901,267,494,44,252,41,76,2056,1296,90,2504,37,104,426,551,60,219,277,20,1347,747,20,20,294,4009,20,5252,20,20,846,43,209,90,530,408,672,3684,119,258,1277,291,ALL
89,1593,1991,103,12920,550,6964,719,1405,170,556,207,6183,4765,281,210,268,152,20,20,87,668,4751,1969,548,20,1482,786,3602,70,315,192,20,20,920,10669,160,545,5075,283,150,2151,4746,673,1322,2069,810,1489,706,1354,87,1220,93,588,2408,269,153,7743,495,1624,827,182,724,3260,116,393,201,6216,3578,ALL
199,1011,1062,72,6555,694,2056,859,742,188,1483,290,13077,3529,589,3633,20,145,820,20,155,265,2346,686,1157,389,892,2337,1204,136,1030,77,493,20,606,1912,838,570,155,179,135,2263,1534,308,732,1613,404,1784,864,901,188,662,3576,307,2525,159,206,1756,442,2050,679,452,360,5964,94,416,180,3382,1706,ALL
147,1763,1030,158,11506,1287,3688,661,1718,217,1505,513,8506,9000,854,735,64,81,76,91,371,898,3347,2572,387,20,1306,2035,2859,135,333,96,114,20,1417,9211,520,571,5767,314,128,2901,5311,929,1636,2952,547,2286,515,905,99,1990,637,747,2133,499,56,7288,522,1995,1426,304,938,6147,29,651,625,5831,2041,ALL
182,2065,675,28,11089,475,2976,1034,623,240,904,190,3720,10227,289,637,160,202,36,73,360,666,3207,1439,707,20,593,1910,1259,20,426,120,20,20,869,3345,478,235,3649,106,182,2523,4326,698,2076,3110,72,944,825,909,67,1143,635,393,1232,260,225,6084,467,1625,1578,540,848,3774,38,278,330,5617,3847,ALL
358,1778,1731,117,13775,883,3182,447,1016,254,643,214,12676,8469,534,973,363,286,375,20,20,374,6633,989,1822,20,2376,4215,2689,184,588,98,78,20,2031,2360,20,352,218,335,227,3297,7155,1060,917,2591,665,1888,1837,1024,20,2474,817,822,1150,214,234,2455,485,3139,660,1263,926,3511,282,623,784,3714,8578,ALL
20,764,762,99,4845,1281,2209,252,1198,32,669,20,9783,2091,540,1263,333,141,22,41,195,516,2143,1186,738,944,542,711,2753,20,666,89,20,20,954,1316,20,20,3339,119,157,954,1178,358,453,820,726,2111,883,171,102,220,1631,515,1232,20,255,1273,472,882,541,203,390,1654,136,198,314,1616,111,ALL
65,1448,800,101,8499,256,2580,1041,1010,200,1137,45,4453,2273,44,694,279,155,20,20,285,473,2291,1224,907,343,809,1346,815,20,250,82,20,20,532,2492,45,84,2696,91,290,1146,3427,310,1660,1116,95,1983,1309,493,432,1271,846,339,1519,184,82,6482,156,1459,1225,1074,615,2352,20,251,146,4692,576,ALL
128,2191,1158,22,13830,568,10857,1717,1969,338,3810,312,13988,12217,616,888,117,180,205,242,470,1487,5933,4555,860,950,2475,2273,2233,20,284,120,20,20,3192,6464,20,867,8148,268,70,4700,6870,1047,2174,5908,767,2731,817,1224,359,4004,883,748,180,326,308,7629,629,4253,3081,1071,827,4281,119,847,636,11241,5796,ALL
123,768,1185,48,16000,454,1535,604,1377,119,1631,37,2900,2973,447,447,152,139,20,184,514,688,2306,2707,92,64,1514,545,5193,34,137,161,82,20,896,524,343,323,2805,20,39,2914,9177,20,3707,1143,600,1962,383,353,149,1781,560,201,1912,122,183,5746,256,768,1620,675,68,20,118,689,371,9114,20,ALL
20,1323,141,74,9604,43,4624,304,791,20,857,184,6074,1743,239,527,265,124,20,155,95,143,2131,274,686,88,1977,949,1026,20,401,111,20,20,70,3253,678,241,5397,30,126,1000,4836,20,295,108,247,1739,825,128,160,350,886,48,354,20,39,699,104,176,532,177,122,1075,206,290,180,2572,1628,ALL
98,1992,767,43,5479,613,3710,397,596,85,813,93,3729,12805,20,1820,20,108,425,148,53,376,4677,590,803,20,672,1297,740,30,613,22,121,20,321,3796,1177,493,870,334,74,1122,3085,395,1377,146,442,585,731,136,366,431,1525,20,178,142,113,2443,172,862,303,417,20,834,146,199,780,1601,1962,ALL
93,1210,1145,168,12848,298,5079,642,868,191,899,424,6023,5981,515,71,392,102,20,20,418,531,3182,1823,803,20,1235,1343,2785,209,513,20,20,20,992,4093,734,502,5955,204,205,2298,5815,651,1456,2457,621,1571,899,740,770,3970,108,598,1687,277,232,3840,494,1409,1463,300,222,1826,185,569,655,6110,1306,ALL
153,738,521,20,5613,231,2302,295,635,20,223,77,13278,2425,50,515,305,203,20,4271,391,481,2910,553,842,560,933,1371,14011,20,439,113,20,20,363,1689,502,301,5070,81,144,498,1872,166,404,1081,116,1395,1171,20,267,747,512,163,3711,20,95,3878,162,489,416,559,700,1168,9270,292,402,2242,892,ALL
121,2143,700,117,10573,306,2106,1122,827,20,759,20,4718,3323,268,304,330,128,66,29,495,647,2648,1909,514,43,1114,1330,2381,20,416,52,20,20,636,5204,29,101,8219,109,98,753,3265,190,1982,1480,96,1437,805,295,59,773,441,169,1750,105,297,3262,348,716,1134,342,433,4314,183,424,190,3074,2452,ALL
90,1245,456,20,4578,433,3307,209,190,79,899,170,4110,2617,483,2331,64,84,34,20,219,145,2818,1076,561,20,20,2127,569,20,430,20,20,20,419,2581,176,20,4184,139,143,672,2877,201,949,1283,291,990,1286,220,20,115,1976,104,291,109,291,1810,217,500,477,20,20,1813,150,517,273,5374,760,ALL
28,302,238,355,5817,226,624,206,3127,20,20,20,12406,911,1674,4259,405,1450,1537,3693,20,153,1647,299,1811,394,3236,5587,13338,59,1702,179,1338,4830,263,498,13464,56,711,34,293,407,1126,282,454,427,208,4719,2402,20,652,5878,4192,35,8518,20,121,782,181,279,110,727,2947,270,8054,200,1807,2271,784,AML
50,201,382,295,5407,20,680,20,853,20,218,38,7855,2551,735,2517,327,781,1481,20,67,20,2195,389,1406,72,1125,3909,2306,72,1137,214,565,20,226,165,1233,168,654,48,322,529,880,43,391,288,57,1106,2137,117,262,2140,2327,79,3628,20,33,490,74,336,209,1639,1050,1084,216,86,1038,1082,406,AML
29,667,245,283,4490,410,1031,20,6159,22,20,20,16000,1297,2727,15519,485,970,16000,11517,20,88,1885,126,1707,5940,4647,12358,16000,692,2014,179,2892,4573,87,1309,7955,20,20,74,337,697,473,64,412,295,214,5868,3965,259,618,5162,15761,71,10603,20,20,1648,202,194,358,1096,4863,20,16000,209,1051,2007,118,AML
98,697,267,311,3763,185,1687,87,5503,20,20,93,16000,753,2399,13221,415,408,13296,12979,20,139,1359,190,2072,6247,3808,7125,12115,672,2683,330,157,6759,183,852,9933,20,218,52,417,786,186,20,393,224,149,6903,2539,20,805,2887,13087,20,8479,20,81,528,20,130,254,3397,2612,183,16000,253,1064,802,43,AML
41,721,342,70,6604,118,1367,71,2083,20,201,20,16000,2708,784,2702,582,275,1661,5072,20,75,1291,275,1753,6530,3594,2275,5902,307,974,407,20,1569,111,1484,2676,62,251,33,271,845,680,20,286,230,195,7061,2286,20,673,4681,1663,64,1285,20,94,99,20,51,550,4465,1671,664,10043,199,2538,939,214,AML
43,893,832,297,6978,279,2194,102,6718,20,449,20,16000,2493,679,2475,456,316,1073,10476,20,300,2176,353,1929,159,2702,4214,13895,373,1147,313,1179,20,323,1283,548,107,20,91,238,824,794,151,429,384,209,7113,1641,32,822,3077,1953,64,7858,20,20,1203,28,596,214,2274,2224,739,15202,292,733,1238,172,AML
50,624,294,190,4206,277,460,237,1766,20,65,20,11012,487,1305,3605,259,555,6962,1653,35,237,1486,279,1647,5824,1736,2558,1908,550,478,243,868,6569,125,1525,16000,150,412,58,217,1174,1312,66,314,179,29,3717,2545,173,1137,6000,4063,35,8859,20,20,1561,178,309,514,2195,3348,574,3104,151,1296,967,371,AML
20,388,148,326,4642,136,1874,238,4915,20,172,60,16000,769,2694,6268,487,1130,14555,2971,20,100,730,250,2112,7142,3553,8793,11990,425,2279,229,1537,7372,158,811,9994,20,343,20,213,440,485,20,208,651,160,11618,3818,118,1050,5065,6612,20,11003,20,84,1628,20,313,147,478,6218,20,6506,173,647,1365,292,AML
45,432,309,197,3998,321,767,57,2056,60,239,56,12276,1614,1028,7035,554,1338,7238,688,20,192,3719,381,1555,499,3255,4630,9866,82,754,132,1675,4833,295,1032,7791,31,272,61,283,651,408,20,385,469,223,1262,2943,20,1157,7260,7821,23,5849,20,20,1784,115,275,159,983,1548,788,2096,119,1085,1568,248,AML
68,706,259,259,2793,283,2856,628,4136,34,683,88,16000,4148,2680,7969,462,774,12339,7108,20,339,1985,671,1514,1853,4249,7373,10899,619,978,230,657,141,368,1024,976,210,306,50,264,660,1047,192,688,328,293,3088,2535,249,1083,2027,5778,59,3259,20,127,1214,136,311,165,1017,3297,2009,12715,185,1467,1843,618,AML
20,736,256,100,2823,151,2205,20,4126,20,153,20,16000,1446,3223,13195,672,443,3654,13176,20,59,1528,200,2693,6704,1871,2771,14090,864,1690,282,562,2000,110,1827,4108,20,20,20,304,580,335,20,248,133,73,5749,1373,380,1099,3072,13076,33,8855,20,47,1583,63,20,307,1999,3482,146,16000,172,1513,936,20,AML


